Unnamed: 0,"Net Investment April 16-30, 2022","AUC as on April 30, 2022"
,IN INR Cr.,IN INR Cr.
Sectors,Equity,Equity
Automobile and Auto Components,383,221576
Capital Goods,-688,97186
Chemicals,88,102913
Construction,-692,57832
Construction Materials,-291,79797
Consumer Durables,-75,182883
Consumer Services,46,110503
Diversified,4,1608
Fast Moving Consumer Goods,148,277854
Financial Services,-10493,1423537
Forest Materials,2,1229
Healthcare,1495,226067
Information Technology,-7914,591906
Media Entertainment & Publication,-694,22075
Metals & Mining,-1350,162166
Oil Gas & Consumable Fuels,-174,588240
Power,60,237667
Realty,-553,57853
Services,-76,74645
Telecommunication,-67,115643
Textiles,-20,21635
Utilities,3,413
Sovereign,0,0
Others,528,11227
Grand Total,-20332,4666454
