Unnamed: 0,"Net Investment May 16-31, 2022","AUC as on May 31, 2022"
,IN INR Cr.,IN INR Cr.
Sectors,Equity,Equity
Automobile and Auto Components,-188,228813
Capital Goods,807,94510
Chemicals,944,97732
Construction,-424,54644
Construction Materials,-752,70495
Consumer Durables,-1336,160593
Consumer Services,-690,102462
Diversified,-27,1469
Fast Moving Consumer Goods,-1093,278116
Financial Services,-3661,1394240
Forest Materials,20,1191
Healthcare,133,206172
Information Technology,-10506,545067
Media Entertainment & Publication,-150,21250
Metals & Mining,-1573,134022
Oil Gas & Consumable Fuels,155,555923
Power,899,199855
Realty,-239,52991
Services,3046,72431
Telecommunication,-157,108740
Textiles,118,20479
Utilities,-1,372
Sovereign,0,0
Others,-104,10425
Grand Total,-14779,4411991
