Unnamed: 0,"Net Investment June 01-15, 2022","AUC as on June 15, 2022"
,IN INR Cr.,IN INR Cr.
Sectors,Equity,Equity
Automobile and Auto Components,-1459,220158
Capital Goods,770,92798
Chemicals,135,91631
Construction,-36,51817
Construction Materials,-1662,63271
Consumer Durables,-2577,147510
Consumer Services,-321,94901
Diversified,9,1481
Fast Moving Consumer Goods,-1523,258961
Financial Services,-8050,1285636
Forest Materials,36,1181
Healthcare,-860,198030
Information Technology,-3702,509373
Media Entertainment & Publication,12,19451
Metals & Mining,-2339,123414
Oil Gas & Consumable Fuels,847,545683
Power,-1956,187532
Realty,-1,50316
Services,182,69091
Telecommunication,-2376,103657
Textiles,27,18647
Utilities,-15,333
Sovereign,0,0
Others,-89,15736
Grand Total,-24949,4150609
