Unnamed: 0,"Net Investment August 01-15, 2022","AUC as on August 15, 2022"
,IN INR Cr.,IN INR Cr.
Sectors,Equity,Equity
Automobile and Auto Components,1825,256873
Capital Goods,1113,112090
Chemicals,796,105521
Construction,705,61511
Construction Materials,517,73835
Consumer Durables,1338,174196
Consumer Services,3373,112456
Diversified,2,1608
Fast Moving Consumer Goods,1962,306271
Financial Services,6682,1499934
Forest Materials,144,1534
Healthcare,-101,210790
Information Technology,1010,539161
Media Entertainment & Publication,353,22007
Metals & Mining,590,145083
Oil Gas & Consumable Fuels,-154,563771
Power,400,240660
Realty,-380,56602
Services,570,76271
Telecommunication,424,110564
Textiles,23,21007
Utilities,0,375
Sovereign,0,0
Others,1262,9782
Grand Total,22453,4701902
