Unnamed: 0,"Net Investment September 16-30, 2022","AUC as on September 30, 2022"
,IN INR Cr.,IN INR Cr.
Sectors,Equity,Equity
Automobile and Auto Components,-1524,259928
Capital Goods,374,119411
Chemicals,-673,102551
Construction,216,62874
Construction Materials,-3,76470
Consumer Durables,-655,177295
Consumer Services,978,119028
Diversified,-3,1704
Fast Moving Consumer Goods,768,323204
Financial Services,-7008,1459322
Forest Materials,45,1639
Healthcare,96,225618
Information Technology,-5201,475769
Media Entertainment & Publication,-564,21646
Metals & Mining,-3302,147022
Oil Gas & Consumable Fuels,-4044,514343
Power,-1178,234233
Realty,-718,53138
Services,-283,77695
Telecommunication,1634,126434
Textiles,288,21441
Utilities,-12,360
Sovereign,0,0
Others,381,11168
Grand Total,-20387,4612296
