,Automobile_and_Auto_Components,Capital_Goods,Chemicals,Construction,Construction_Materials,Consumer_Durables,Consumer_Services,Diversified,Fast_Moving_Consumer_Goods,Financial_Services,Forest_Materials,Healthcare,Information_Technology,Media_Entertainment_&_Publication,Metals_&_Mining,Oil_Gas_&_Consumable_Fuels,Power,Realty,Services,Telecommunication,Textiles,Utilities,Sovereign,Others,Grand_Total
0,383,-688,88,-692,-291,-75,46,4,148,-10493,2,1495,-7914,-694,-1350,-174,60,-553,-76,-67,-20,3,0,528,-20332
1,-1210,-638,-423,-751,-698,-1369,-1032,-19,526,-8355,14,-838,-5628,-25,-1179,-3723,1408,-248,-390,-440,-121,-1,0,-77,-25216
2,-188,807,944,-424,-752,-1336,-690,-27,-1093,-3661,20,133,-10506,-150,-1573,155,899,-239,3046,-157,118,-1,0,-104,-14779
3,-1459,770,135,-36,-1662,-2577,-321,9,-1523,-8050,36,-860,-3702,12,-2339,847,-1956,-1,182,-2376,27,-15,0,-89,-24949
4,-1020,528,-323,-709,-515,-2651,-934,6,-910,-5565,-4,-1160,-2503,-90,-1663,-4510,-743,-186,-582,-1426,-185,0,0,-110,-25254
5,-363,499,-503,338,77,-394,-282,0,2085,-1008,-4,818,-3213,100,-1418,-4531,1039,-54,-31,-481,-53,0,0,-54,-7432
6,1034,1419,-44,660,596,453,493,-4,2190,2022,8,-611,-1452,317,133,-749,585,113,207,5046,23,4,0,-23,12421
7,1825,1113,796,705,517,1338,3373,2,1962,6682,144,-101,1010,353,590,-154,400,-380,570,424,23,0,0,1262,22453
8,1911,2246,922,501,-104,725,2122,19,1533,6117,27,8610,-613,-267,8,1433,1140,384,311,1622,-50,1,0,154,28752
9,1919,1579,341,412,-378,654,1443,10,1997,5335,63,1737,-3998,311,307,-366,109,-574,1132,852,-231,2,0,108,12764
10,-1524,374,-673,216,-3,-655,978,-3,768,-7008,45,96,-5201,-564,-3302,-4044,-1178,-718,-283,1634,288,-12,0,381,-20387
